ADM4_EN,ADM4_PCODE,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE
Gogonyo,UG20590205,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2
Goli Goli,UG20480103,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2
Goma Division,UG10210301,Mukono Municipality,UG102103,Mukono,UG1021,Central,UG1
Gombe Division,UG10260602,Nansana Municipality,UG102606,Wakiso,UG1026,Central,UG1
Gombe Town Council,UG10030103,Butambala,UG100301,Butambala,UG1003,Central,UG1
Got Apwoyo,UG30920104,Nwoya,UG309201,Nwoya,UG3092,Northern,UG3
Gweri,UG20620103,Soroti,UG206201,Soroti,UG2062,Eastern,UG2
Hakibaale,UG41100103,Burahya,UG411001,Kabarole,UG4110,Western,UG4
Hamurwa,UG41300103,Rubanda,UG413001,Rubanda,UG4130,Western,UG4
Hamurwa Town Council,UG41300104,Rubanda,UG413001,Rubanda,UG4130,Western,UG4
Hapuuyo,UG41230101,Kyaka,UG412301,Kyegegwa,UG4123,Western,UG4
Harugale,UG41030104,Bughendera,UG410301,Bundibugyo,UG4103,Western,UG4
Harugogo,UG41100104,Burahya,UG411001,Kabarole,UG4110,Western,UG4
Hima Town Council,UG41150204,Busongora,UG411502,Kasese,UG4115,Western,UG4
Himutu,UG20360108,Bunyole,UG203601,Butaleja,UG2036,Eastern,UG2
Ibaare,UG41050203,Igara,UG410502,Bushenyi,UG4105,Western,UG4
Ibuje,UG30710204,Maruzi,UG307102,Apac,UG3071,Northern,UG3
Ibulanku,UG20310104,Bugweri,UG203101,Bugweri,UG2031,Eastern,UG2
Iceme,UG30960105,Oyam,UG309601,Oyam,UG3096,Northern,UG3
Igombe,UG20310105,Bugweri,UG203101,Bugweri,UG2031,Eastern,UG2
Igorora Town Council,UG41070101,Ibanda,UG410701,Ibanda,UG4107,Western,UG4
Ihandiro,UG41150102,Bukonjo,UG411501,Kasese,UG4115,Western,UG4
